Datetime,Zone A,Zone B,Zone C,Zone A_incident,Zone B_incident,Zone C_incident,Temperature,Humidity
2017-01-01 00:00:00,34055.6962,16128.87538,20240.96386,1,0,1,6.559,73.8
2017-01-01 00:10:00,29814.68354,19375.07599,20131.08434,0,0,0,6.414,74.5
2017-01-01 00:20:00,29128.10127,19006.68693,19668.43373,0,0,0,6.313,74.5
2017-01-01 00:30:00,28228.86076,18361.09422,18899.27711,0,0,0,6.121,75.0
2017-01-01 00:40:00,27335.6962,17872.34043,18442.40964,0,0,0,5.921,75.7
2017-01-01 00:50:00,26624.81013,17416.41337,18130.12048,0,0,0,5.853,76.9
2017-01-01 01:00:00,25998.98734,16993.31307,17945.06024,0,0,1,5.641,77.7
2017-01-01 01:10:00,25446.07595,16661.39818,17459.27711,0,0,0,5.496,78.2
2017-01-01 01:20:00,24777.72152,16227.35562,17025.54217,0,0,0,5.678,78.1
2017-01-01 01:30:00,24279.49367,15939.20973,16794.21687,0,0,0,5.491,77.3
2017-01-01 01:40:00,23896.70886,15435.86626,16638.07229,0,0,0,5.516,77.5
2017-01-01 01:50:00,23544.3038,15213.37386,16395.18072,0,0,0,5.471,76.7
2017-01-01 02:00:00,23003.5443,15169.60486,16117.59036,0,0,1,5.059,78.6
2017-01-01 02:10:00,22329.11392,14710.0304,15822.6506,0,0,0,4.968,78.8
2017-01-01 02:20:00,22092.1519,14421.8845,15672.28916,0,0,0,4.975,78.9
2017-01-01 02:30:00,21903.79747,14104.55927,15597.10843,0,0,0,4.897,79.1
2017-01-01 02:40:00,21685.06329,13965.95745,15510.36145,0,0,0,5.02,79.7
2017-01-01 02:50:00,21484.55696,13612.15805,15336.86747,0,0,0,5.407,78.5
2017-01-01 03:00:00,21107.8481,13535.56231,15140.24096,0,0,0,5.169,77.9
2017-01-01 03:10:00,20998.48101,13371.42857,15059.27711,0,0,0,5.081,77.7
2017-01-01 03:20:00,20870.88608,13196.35258,15013.01205,0,0,0,5.041,77.2
2017-01-01 03:30:00,20870.88608,13167.17325,14897.3494,0,0,0,5.034,76.9
2017-01-01 03:40:00,20597.46835,13137.99392,14602.40964,0,0,0,4.896,76.6
2017-01-01 03:50:00,20421.26582,12908.20669,14590.84337,0,0,0,4.805,76.2
2017-01-01 04:00:00,20524.55696,12820.66869,14585.06024,0,0,0,4.753,75.7
2017-01-01 04:10:00,20482.02532,13032.21884,14452.04819,0,0,0,4.901,74.4
2017-01-01 04:20:00,20530.63291,12926.44377,14232.28916,0,0,0,5.203,74.1
2017-01-01 04:30:00,20512.40506,12948.32827,14157.10843,0,0,0,5.394,71.9
2017-01-01 04:40:00,20494.17722,12922.79635,14232.28916,0,0,0,5.156,74.0
2017-01-01 04:50:00,20311.89873,12879.02736,14243.85542,0,0,0,5.179,74.2
2017-01-01 05:00:00,20542.78481,12806.07903,14243.85542,0,0,0,4.934,72.9
2017-01-01 05:10:00,20621.77215,12853.49544,14105.06024,0,0,0,4.718,75.8
2017-01-01 05:20:00,20627.8481,12842.55319,14266.98795,0,0,0,5.546,74.0
2017-01-01 05:30:00,20797.97468,13137.99392,14353.73494,0,0,0,4.658,73.5
2017-01-01 05:40:00,20858.73418,13203.64742,14538.79518,0,0,0,4.382,76.9
2017-01-01 05:50:00,21393.41772,13575.68389,14862.6506,0,0,0,4.212,78.3
2017-01-01 06:00:00,22219.74684,14068.08511,14908.91566,0,0,0,4.308,77.2
2017-01-01 06:10:00,21928.10127,13852.88754,14729.63855,0,0,0,4.735,74.3
2017-01-01 06:20:00,21776.20253,13626.74772,14625.54217,0,0,0,4.769,75.6
2017-01-01 06:30:00,21654.68354,13582.97872,14480.96386,0,0,0,4.92,73.7
2017-01-01 06:40:00,21466.32911,13539.20973,14319.03614,0,0,0,4.408,76.7
2017-01-01 06:50:00,20846.58228,12908.20669,14018.31325,0,0,0,4.29,77.0
2017-01-01 07:00:00,19983.79747,12342.85714,13492.04819,0,0,0,4.304,76.0
2017-01-01 07:10:00,18908.35443,11897.87234,12630.36145,0,0,0,4.513,74.6
2017-01-01 07:20:00,18167.08861,11551.36778,11600.96386,0,0,0,4.489,74.3
2017-01-01 07:30:00,18075.94937,11263.22188,10640.96386,0,0,0,4.356,72.3
2017-01-01 07:40:00,18063.79747,10719.75684,10455.90361,0,0,0,4.478,72.2
2017-01-01 07:50:00,18045.56962,10924.01216,10496.38554,0,0,0,4.583,71.0
2017-01-01 08:00:00,18385.82278,10949.54407,10710.36145,0,0,0,4.794,72.0
2017-01-01 08:10:00,18987.34177,11347.11246,10837.59036,0,0,0,4.807,73.1
2017-01-01 08:20:00,19576.70886,11733.7386,10941.68675,0,0,0,4.757,73.5
2017-01-01 08:30:00,19837.97468,11945.28875,11178.79518,0,0,0,4.509,74.5
2017-01-01 08:40:00,20166.07595,12029.17933,11514.21687,0,0,0,4.346,74.8
2017-01-01 08:50:00,20676.4557,12426.74772,11959.51807,0,0,0,4.718,73.7
2017-01-01 09:00:00,21296.20253,12871.73252,12283.37349,0,0,0,4.704,71.8
2017-01-01 09:10:00,22043.5443,13203.64742,12427.95181,0,0,0,4.624,74.1
2017-01-01 09:20:00,22651.13924,13542.85714,12826.98795,0,0,0,4.629,74.8
2017-01-01 09:30:00,23131.13924,14046.20061,13121.92771,0,0,0,4.599,74.0
2017-01-01 09:40:00,23641.51899,14392.70517,13648.19277,0,0,0,4.524,74.7
2017-01-01 09:50:00,24668.35443,14830.39514,13850.60241,0,0,0,4.575,74.5
2017-01-01 10:00:00,25275.94937,15238.90578,14162.89157,0,0,0,5.124,73.7
2017-01-01 10:10:00,25920.0,15837.08207,14428.91566,0,0,0,5.836,71.3
2017-01-01 10:20:00,26393.92405,16059.57447,14671.80723,0,0,0,5.996,69.85
2017-01-01 10:30:00,26861.77215,16322.18845,15036.14458,0,0,0,6.22,68.81
2017-01-01 10:40:00,27511.89873,16774.46809,15267.46988,0,0,0,6.703,68.01
2017-01-01 10:50:00,28149.87342,17164.74164,15244.33735,0,0,0,6.993,66.14
2017-01-01 11:00:00,28714.93671,17507.59878,15591.3253,0,0,0,7.54,64.21
2017-01-01 11:10:00,29043.03797,17478.41945,15816.86747,0,0,0,8.22,61.9
2017-01-01 11:20:00,29261.77215,17792.09726,15932.53012,0,0,0,9.49,59.3
2017-01-01 11:30:00,29474.43038,17748.32827,16053.9759,0,0,0,10.65,56.03
2017-01-01 11:40:00,29523.03797,17963.52584,16256.38554,0,0,0,11.06,53.52
2017-01-01 11:50:00,29711.39241,18142.24924,16354.6988,0,0,0,12.4,53.26
2017-01-01 12:00:00,29644.55696,18131.30699,16562.89157,0,0,0,13.08,54.36
2017-01-01 12:10:00,29802.53165,18102.12766,16522.40964,0,0,0,14.38,54.42
2017-01-01 12:20:00,29887.59494,18156.83891,16649.63855,0,0,0,15.02,56.46
2017-01-01 12:30:00,30039.49367,18335.56231,16869.39759,0,0,0,15.55,58.7
2017-01-01 12:40:00,29966.58228,18204.25532,17094.93976,0,0,0,15.56,59.23
2017-01-01 12:50:00,29996.96203,18196.96049,17418.79518,0,0,0,15.49,59.3
2017-01-01 13:00:00,30258.22785,18466.8693,17413.01205,0,0,0,15.57,58.06
2017-01-01 13:10:00,30404.05063,18350.15198,17436.14458,0,0,0,15.65,58.7
2017-01-01 13:20:00,30094.17722,18331.91489,17332.04819,0,0,0,15.73,59.33
2017-01-01 13:30:00,30161.01266,18419.45289,17465.06024,0,0,0,15.68,58.6
2017-01-01 13:40:00,30318.98734,18310.0304,17164.33735,0,0,0,15.7,55.29
2017-01-01 13:50:00,30154.93671,18390.27356,16979.27711,0,0,0,15.75,52.45
2017-01-01 14:00:00,29984.81013,18353.79939,17054.45783,0,0,0,15.83,54.99
2017-01-01 14:10:00,30021.26582,18142.24924,17048.6747,0,0,0,15.79,56.66
